5* - Probability of getting exactly constellation X
+-------+--------+--------+--------+--------+--------+--------+--------+
| Pulls |   C0   |   C1   |   C2   |   C3   |   C4   |   C5   |   C6   |
+-------+--------+--------+--------+--------+--------+--------+--------+
|   50  | 0.1372 | 0.0102 | 0.0005 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
|  100  | 0.5489 | 0.0822 | 0.0061 | 0.0004 | 0.0000 | 0.0000 | 0.0000 |
|  150  | 0.5657 | 0.2254 | 0.0342 | 0.0035 | 0.0003 | 0.0000 | 0.0000 |
|  200  | 0.4134 | 0.4335 | 0.1307 | 0.0200 | 0.0021 | 0.0002 | 0.0000 |
|  250  | 0.1236 | 0.5027 | 0.2922 | 0.0699 | 0.0103 | 0.0012 | 0.0001 |
|  300  | 0.0438 | 0.3569 | 0.3934 | 0.1627 | 0.0367 | 0.0058 | 0.0008 |
|  350  | 0.0000 | 0.1706 | 0.4161 | 0.2915 | 0.0977 | 0.0205 | 0.0037 |
|  400  | 0.0000 | 0.0408 | 0.3142 | 0.3835 | 0.1924 | 0.0558 | 0.0133 |
|  450  | 0.0000 | 0.0110 | 0.1738 | 0.3676 | 0.2881 | 0.1199 | 0.0396 |
|  500  | 0.0000 | 0.0000 | 0.0653 | 0.2806 | 0.3503 | 0.2074 | 0.0964 |
|  550  | 0.0000 | 0.0000 | 0.0134 | 0.1640 | 0.3377 | 0.2885 | 0.1964 |
|  600  | 0.0000 | 0.0000 | 0.0028 | 0.0746 | 0.2574 | 0.3252 | 0.3399 |
|  650  | 0.0000 | 0.0000 | 0.0000 | 0.0236 | 0.1588 | 0.3061 | 0.5116 |
|  700  | 0.0000 | 0.0000 | 0.0000 | 0.0044 | 0.0774 | 0.2380 | 0.6802 |
|  750  | 0.0000 | 0.0000 | 0.0000 | 0.0008 | 0.0302 | 0.1528 | 0.8163 |
|  800  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0084 | 0.0801 | 0.9115 |
|  850  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0015 | 0.0338 | 0.9647 |
|  900  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0002 | 0.0116 | 0.9881 |
|  950  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0029 | 0.9971 |
|  1000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0005 | 0.9995 |
|  1050 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0001 | 0.9999 |
|  1080 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
+-------+--------+--------+--------+--------+--------+--------+--------+
